C_time,R_time,ET1,ET2,ET3,norm_E1,norm_E2,norm_E3,norm_E4,norm_E5,norm_E6,norm_E7,norm_E8,norm_E9,norm_E10,norm_E11,norm_E12,norm_E13,norm_E14,norm_E15,norm_E16,norm_E17,norm_E18,norm_E19,norm_E20,norm_E21,norm_E22,norm_E23,norm_E24,norm_E25,norm_E26,norm_E27,norm_E28,norm_E29,norm_E30,norm_E31,norm_E32,RK_t1,RK_t2,RK_t3,RK_t4,RK_t5,RK_t6,RK_t7,RK_t8,RK_t9,RK_t10,RK_t11,RK_t12,RK_t13,RK_t14,RK_t15,RK_t16,RK_t17,RK_t18,RK_t19,RK_t20,RK_t21,RK_t22,RK_t23,RK_t24,RK_t25,RK_t26,RK_t27,RK_t28,RK_t29,RK_t30,RK_t31,RK_t32
100,-0.970348,0.0709397,0.00349273,0.000392976,0.866511,0.0426628,0.00480011,0.000727971,2.22613e-007,0.000276243,0.000521966,0.000686206,0.000991432,0.00144158,0.0019544,0.00251052,0.00311259,0.00373912,0.00435429,0.0049234,0.00541444,0.00579706,0.00604476,0.00613783,0.00606527,0.00582598,0.00542921,0.00489446,0.00425054,0.00353396,0.0027867,0.00205356,0.00137923,0.000805308,0.000367542,0,-0.970348,-0.970367,-0.970404,-0.970401,-0.970395,-0.970394,-0.970394,-0.970393,-0.970391,-0.970389,-0.970386,-0.970384,-0.970381,-0.970378,-0.970375,-0.970372,-0.970369,-0.970367,-0.970364,-0.970361,-0.970358,-0.970356,-0.970354,-0.970352,-0.970351,-0.97035,-0.970349,-0.970348,-0.970348,-0.970348,-0.970348,-0.970348
105,-0.820129,0.0706682,0.00445759,0.00046828,0.891568,0.0562382,0.00590793,0.000630163,0.000438066,0.0002201,0.000142678,0.000398935,0.000568683,0.000748589,0.00103527,0.00133966,0.00165178,0.0019841,0.00231115,0.00261123,0.00287069,0.00307315,0.00320378,0.00325249,0.0032136,0.00308644,0.00287594,0.00259245,0.00225122,0.00187158,0.00147576,0.00108746,0.000730344,0.000426425,0.000194617,0,-0.820129,-0.820244,-0.820243,-0.820226,-0.820231,-0.82023,-0.820226,-0.820224,-0.82022,-0.820216,-0.820211,-0.820206,-0.8202,-0.820194,-0.820188,-0.820182,-0.820175,-0.820169,-0.820163,-0.820157,-0.820152,-0.820147,-0.820143,-0.82014,-0.820137,-0.820134,-0.820132,-0.820131,-0.82013,-0.82013,-0.820129,-0.820129
110,-0.49098,0.0698818,0.00458329,0.000632994,0.91682,0.0601308,0.0083046,0.00159463,0.000364653,2.26869e-005,0.000158706,7.5176e-005,0.00016591,0.000231292,0.00028475,0.000385619,0.00046871,0.000561009,0.000654022,0.000736272,0.000808903,0.000864978,0.000900724,0.000913782,0.00090222,0.000866016,0.000806567,0.000726756,0.000630877,0.000524334,0.000413341,0.000304524,0.000204487,0.00011938,5.44793e-005,0,-0.49098,-0.491107,-0.491058,-0.491072,-0.49107,-0.491065,-0.491065,-0.491062,-0.491059,-0.491055,-0.491051,-0.491047,-0.491042,-0.491036,-0.491031,-0.491026,-0.49102,-0.491015,-0.491009,-0.491005,-0.491,-0.490996,-0.490992,-0.490989,-0.490986,-0.490984,-0.490983,-0.490982,-0.490981,-0.49098,-0.49098,-0.49098
115,-0.0554428,0.0694659,0.0044282,0.000618164,0.929883,0.0592767,0.00827486,0.00179001,0.000363667,0.000136633,2.90081e-005,1.79919e-005,1.30354e-005,8.04322e-006,1.37175e-005,1.05288e-005,1.43411e-005,1.34741e-005,1.48474e-005,1.48601e-005,1.49855e-005,1.47738e-005,1.42661e-005,1.35527e-005,1.25861e-005,1.14486e-005,1.01553e-005,8.76573e-006,7.32618e-006,5.89174e-006,4.51555e-006,3.24924e-006,2.14056e-006,1.23134e-006,5.56065e-007,0,-0.0554427,-0.0554836,-0.0554593,-0.0554733,-0.0554645,-0.055469,-0.0554656,-0.0554664,-0.0554647,-0.0554641,-0.0554627,-0.0554615,-0.0554601,-0.0554586,-0.0554571,-0.0554556,-0.055454,-0.0554525,-0.055451,-0.0554496,-0.0554483,-0.0554472,-0.0554461,-0.0554453,-0.0554445,-0.0554439,-0.0554435,-0.0554431,-0.0554429,-0.0554428,-0.0554428,-0.0554428
120,0.39183,0.0693477,0.00434027,0.000579415,0.921714,0.0576874,0.00770112,0.00179249,0.000237321,0.000229167,2.89936e-005,0.00013091,0.000119007,0.00019447,0.000244821,0.000319593,0.000393093,0.000471226,0.000546961,0.000617134,0.000677647,0.000724407,0.000754532,0.000765314,0.000755659,0.0007253,0.000675501,0.000608645,0.000528342,0.000439108,0.000346153,0.000255021,0.000171245,9.99722e-005,4.56225e-005,0,0.39183,0.391909,0.391869,0.391889,0.391878,0.391882,0.391878,0.391878,0.391876,0.391874,0.391871,0.391869,0.391866,0.391863,0.39186,0.391857,0.391853,0.39185,0.391847,0.391844,0.391842,0.391839,0.391837,0.391835,0.391834,0.391833,0.391832,0.391831,0.391831,0.39183,0.39183,0.39183
125,0.750441,0.068641,0.00411638,0.000649225,0.896519,0.0537639,0.00847952,0.00196678,0.000898742,8.96608e-006,0.000333444,0.000343213,0.000402325,0.000717036,0.000840159,0.00114457,0.00140329,0.00167923,0.00196441,0.00221212,0.00243677,0.00260664,0.00271784,0.00275935,0.00272619,0.00261844,0.00243984,0.00219936,0.00190987,0.0015878,0.001252,0.00092258,0.00061961,0.000361772,0.00016511,0,0.750441,0.750567,0.750538,0.750533,0.750541,0.750533,0.750533,0.75053,0.750526,0.750523,0.750518,0.750513,0.750508,0.750502,0.750496,0.75049,0.750484,0.750478,0.750473,0.750467,0.750462,0.750458,0.750454,0.75045,0.750448,0.750445,0.750444,0.750442,0.750441,0.750441,0.750441,0.750441
130,0.938754,0.0681915,0.00474679,0.00094443,0.854156,0.0594575,0.0118298,0.00178906,0.000617578,0.000812339,0.000328867,0.000425205,0.00101785,0.00121796,0.00156478,0.00215203,0.00261954,0.00312588,0.00366924,0.00413698,0.00454745,0.00487327,0.00507971,0.00515764,0.00509709,0.00489584,0.00456235,0.00411301,0.00357188,0.00296969,0.00234175,0.00172566,0.001159,0.000676721,0.000308855,0,0.938754,0.93881,0.938853,0.938829,0.938824,0.938831,0.938827,0.938823,0.938822,0.938819,0.938815,0.938811,0.938807,0.938802,0.938798,0.938793,0.938788,0.938784,0.938779,0.938775,0.938771,0.938767,0.938764,0.938762,0.938759,0.938757,0.938756,0.938755,0.938754,0.938754,0.938754,0.938754
135,0.916746,0.0681325,0.0058874,0.000981926,0.815315,0.0704523,0.0117503,0.00394843,0.000685909,3.29717e-005,0.000653757,0.00116264,0.00118759,0.00147326,0.00222399,0.00296333,0.00356672,0.00425,0.004994,0.00565421,0.00620417,0.0066423,0.00693018,0.00703732,0.00695359,0.00667933,0.00622482,0.00561189,0.00487362,0.00405206,0.0031953,0.00235469,0.00158148,0.000923409,0.000421446,0,0.916746,0.916669,0.916715,0.916741,0.916733,0.916725,0.916726,0.91673,0.916731,0.91673,0.916731,0.916732,0.916733,0.916734,0.916736,0.916737,0.916738,0.916739,0.91674,0.916741,0.916742,0.916743,0.916744,0.916744,0.916745,0.916745,0.916746,0.916746,0.916746,0.916746,0.916746,0.916746
140,0.693379,0.067513,0.00653123,0.00119412,0.797695,0.0771693,0.014109,0.00388822,0.00212994,0.00129094,0.000623685,0.000488502,0.000975619,0.00179072,0.00255998,0.00317383,0.00378585,0.0045192,0.00531221,0.00603954,0.00663996,0.00709937,0.00739946,0.00751454,0.00742743,0.00713531,0.00664949,0.00599448,0.00520591,0.00432838,0.00341322,0.00251529,0.00168935,0.000986393,0.000450191,0,0.693379,0.693219,0.693183,0.693196,0.693217,0.693229,0.693233,0.693233,0.693237,0.693243,0.693252,0.69326,0.693269,0.693278,0.693288,0.693298,0.693307,0.693317,0.693326,0.693335,0.693343,0.693351,0.693357,0.693363,0.693368,0.693371,0.693374,0.693376,0.693378,0.693379,0.693379,0.693379
145,0.320306,0.0665282,0.00637113,0.00131709,0.8291,0.0793994,0.016414,0.00432651,0.00127748,0.000618704,0.000697665,0.000966947,0.00123234,0.00145873,0.00169114,0.00199515,0.00240558,0.00290141,0.00342114,0.00390164,0.00430322,0.00460638,0.00479842,0.00486795,0.00480729,0.00461573,0.0043004,0.0038763,0.00336597,0.00279825,0.00220637,0.00162577,0.00109184,0.000637474,0.000290932,0,0.320306,0.320186,0.320116,0.320078,0.320062,0.32006,0.320066,0.320076,0.320088,0.3201,0.320113,0.320125,0.320138,0.320152,0.320167,0.320182,0.320197,0.320212,0.320226,0.320239,0.320252,0.320263,0.320273,0.320282,0.320289,0.320295,0.320299,0.320302,0.320304,0.320305,0.320306,0.320306
